"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyYearLabel","SurveyType","SurveyYear","DHS_CountryCode","FileName","CountryName","URLS","Africa","avail"
"1398","Stata dataset (.dta)","3544761","Survey Datasets","402","GA2012DHS","Births Recode","April, 10 2013 14:10:24","2012","DHS","2012","GA","GABR60DT.ZIP","Gabon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GABR60DT.zip&Tp=1&Ctry_Code=GA&surv_id=402&dm=1&dmode=nm",1,"publicly available"
"1469","Flat ASCII data (.dat)","43755","GPS Datasets","402","GA2012DHS","Geographic Data","August, 23 2013 12:40:32","2012","DHS","2012","GA","GAGE61FL.ZIP","Gabon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GAGE61FL.zip&Tp=2&Ctry_Code=GA&surv_id=402&dm=1&dmode=nm",1,"publicly available"
"1470","Stata dataset (.dta)","3513605","Survey Datasets","425","GM2013DHS","Births Recode","October, 08 2014 12:16:56","2013","DHS","2013","GM","GMBR60DT.ZIP","Gambia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GMBR60DT.zip&Tp=1&Ctry_Code=GM&surv_id=425&dm=1&dmode=nm",1,"publicly available"
"1500","Stata dataset (.dta)","1196944","Survey Datasets","25","GH1988DHS","Births Recode","June, 04 2007 20:40:32","1988","DHS","1988","GH","GHBR02dt.zip","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHBR02DT.zip&Tp=1&Ctry_Code=GH&surv_id=25&dm=1&dmode=nm",1,"publicly available"
"1504","Stata dataset (.dta)","1890703","Survey Datasets","58","GH1993DHS","Births Recode","May, 17 2007 12:33:08","1993","DHS","1993","GH","GHBR31dt.zip","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHBR31DT.zip&Tp=1&Ctry_Code=GH&surv_id=58&dm=1&dmode=nm",1,"publicly available"
"1508","Stata dataset (.dta)","2776310","Survey Datasets","151","GH1998DHS","Births Recode","May, 17 2007 12:48:34","1998","DHS","1998","GH","GHBR41dt.zip","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHBR41DT.zip&Tp=1&Ctry_Code=GH&surv_id=151&dm=1&dmode=nm",1,"publicly available"
"1512","Stata dataset (.dta)","2317232","Survey Datasets","235","GH2003DHS","Births Recode","November, 18 2010 10:06:51","2003","DHS","2003","GH","GHBR4BDT.ZIP","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHBR4BDT.zip&Tp=1&Ctry_Code=GH&surv_id=235&dm=1&dmode=nm",1,"publicly available"
"1516","Stata dataset (.dta)","2183041","Survey Datasets","301","GH2008DHS","Births Recode","June, 07 2012 14:38:57","2008","DHS","2008","GH","GHBR5ADT.ZIP","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHBR5ADT.zip&Tp=1&Ctry_Code=GH&surv_id=301&dm=1&dmode=nm",1,"publicly available"
"1520","Stata dataset (.dta)","3768985","Survey Datasets","437","GH2014DHS","Births Recode","December, 05 2016 12:58:41","2014","DHS","2014","GH","GHBR72DT.ZIP","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHBR72DT.zip&Tp=1&Ctry_Code=GH&surv_id=437&dm=1&dmode=nm",1,"publicly available"
"1753","Flat ASCII data (.dat)","37738","GPS Datasets","58","GH1993DHS","Geographic Data","March, 05 2012 18:26:54","1993","DHS","1993","GH","GHGE33FL.zip","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHGE33FL.zip&Tp=2&Ctry_Code=GH&surv_id=58&dm=1&dmode=nm",1,"publicly available"
"1754","Flat ASCII data (.dat)","91474","GPS Datasets","151","GH1998DHS","Geographic Data","March, 05 2012 18:26:54","1998","DHS","1998","GH","GHGE42FL.zip","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHGE42FL.zip&Tp=2&Ctry_Code=GH&surv_id=151&dm=1&dmode=nm",1,"publicly available"
"1755","Flat ASCII data (.dat)","95022","GPS Datasets","235","GH2003DHS","Geographic Data","March, 05 2012 18:26:54","2003","DHS","2003","GH","GHGE4BFL.zip","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHGE4BFL.zip&Tp=2&Ctry_Code=GH&surv_id=235&dm=1&dmode=nm",1,"publicly available"
